stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1605,2822,Florence Blvd & Pratt NW,,41.2924363875309,-95.9421720356348,0,1
1644,2823,Florence Blvd & Pinkney NW,,41.290815,-95.94218,0,1
760,2824,Florence Blvd & Emmet NW,,41.2897589926452,-95.9421883085889,0,1
875,2825,Florence Blvd & Spencer NW,,41.288033,-95.94219,0,1
925,2826,Florence Blvd & Binney SW,,41.2856232405429,-95.9421958322789,0,1
3989,2827,Maple & 20th NW,,41.2843239510985,-95.9421984521387,0,1
757,2828,Miami & 20th SW,,41.282979,-95.9422,0,1
781,2829,Lake & 20th NW,,41.2817163049231,-95.9422063806154,0,1
9403,2830,20th & Willis Ave SW,,41.2800903034727,-95.9422471800505,0,1
791,2831,20th & Burdette NW,,41.2790167271714,-95.94227572049,0,1
853,2832,20th & Grace NW,,41.2769721641362,-95.9422993223225,0,1
822,2833,20th & Clark NW,,41.2756057888237,-95.9423235965033,0,1
804,2884,20th & Charles NW,,41.273384,-95.94234,0,1
715,2885,20th & Paul NW,,41.2718859953784,-95.942357653395,0,1
704,2886,20th & Nicholas NW,,41.2701616833365,-95.9423688983716,0,1
694,3029,20th & Cuming NW,,41.268476,-95.94238,0,1
7747,2887,20th & Burt NW,,41.2670788126761,-95.9423971654728,0,1
5892,2888,20th & California NW,,41.264843,-95.94241,0,1
667,2889,20th & Chicago SW,,41.2624407512367,-95.9424378187085,0,1
648,3291,20th & Davenport SW,,41.260652,-95.94241,0,1
9053,3320,20th & Dodge St NW,,41.2601163092786,-95.9423961958763,0,1
5684,2559,Harney & 19th SW,,41.25656,-95.941009,0,1
931,2561,Harney & 16th SW,,41.25655,-95.937432,0,1
393,3646,Harney & 15th SW,,41.25655,-95.93606,0,1
9247,2686,13th & Farnam SE,,41.2573366160318,-95.9332380548106,0,1
748,1623,13th St & Douglas SE,,41.2584537559287,-95.9332224505799,0,1
7666,9990,22nd & Cuming NE,,41.268603,-95.943781,0,1
9603,3254,North Omaha TC Bay 4,,41.2979283285978,-95.9578894808185,0,1
805,1443,30th & Ames SW,,41.29958,-95.956795,0,1
4279,3247,24th & Meredith SW,,41.3002816167573,-95.9469594437211,0,1
9431,1671,24th & Larimore SE,,41.3022484171615,-95.9469114689692,0,1
9432,1672,24th & Saratoga SE,,41.303722,-95.9469,0,1
3646,1673,24th & Fort SE,,41.3063911539812,-95.9469267576044,0,1
9433,1674,24th & Ogden SE,,41.3073671668317,-95.9469145074038,0,1
2993,1675,24th & Ellison SE,,41.3092089812308,-95.9469421981122,0,1
6563,1676,24th & Himbaugh SE,,41.3109770061583,-95.9469425603719,0,1
6356,1677,24th & Laurel SE,,41.3120360222165,-95.9469475781855,0,1
1650,1678,24th & Kansas SE,,41.3138465194825,-95.9469693633272,0,1
3438,1679,24th & Miller Park Dr SE,,41.3155612032933,-95.9469512799612,0,1
1279,1680,24th & Redick SE,,41.317533,-95.94692,0,1
4959,1681,24th & Newport SE,,41.3193294870016,-95.9469516880416,0,1
9652,1682,Titus & 24th NW,,41.3206710134538,-95.9471872827317,0,1
5784,1683,Titus & 25th NE,,41.3206792542957,-95.9491980481381,0,1
329,1684,Titus & Minne Lusa Blvd NE,,41.3206517356431,-95.9516034627413,0,1
4563,1685,Minne Lusa Blvd & Ida NE,,41.3216530680283,-95.9517585434223,0,1
4566,1686,Minne Lusa Blvd & Vane NE,,41.3231473076923,-95.9512965384615,0,1
3614,1687,Minne Lusa Blvd & Iowa SE,,41.32440191582,-95.9509589869376,0,1
6558,1688,Martin & Minne Lusa Blvd NW,,41.3252319042419,-95.9514686073079,0,1
5188,1689,Martin & 28th NE,,41.3252123292201,-95.9543951850938,0,1
9380,3246,Martin & 30th NW,,41.3242529,-95.9576213,0,1
4340,1691,Martin & 33rd NE,,41.323289519573,-95.9607335373666,0,1
4355,1692,Martin & 34th NE,,41.3224933540984,-95.963130904918,0,1
4259,3236,Martin & Newport NW,,41.3195043120946,-95.9658633086608,0,1
7014,3235,Martin & Redick NW,,41.317618117647,-95.9673154705882,0,1
7047,1580,Redick & 38th NE,,41.31754,-95.96968,0,1
3560,1581,Redick & 40th NE,,41.3175,-95.973146,0,1
4226,1582,Redick & 42nd NE,,41.3174907708572,-95.9756095982626,0,1
6504,3244,Curtis & 42nd SE,,41.3157221492706,-95.9752491301591,0,1
